ms,electrode
1469589,0.510
1470600,0.519
1471611,0.518
1472622,0.507
1473633,0.512
1474644,0.508
1475655,0.512
1476666,0.518
1477677,0.514
1478688,0.516
1479699,0.490
1480710,0.511
1481721,0.515
1482732,0.500
1483743,0.513
1484754,0.516
1485765,0.513
1486776,0.504
1487787,0.499
1488802,0.510
1489813,0.509
1490824,0.494
1491835,0.531
1492846,0.505
1493857,0.499
1494868,0.496
1495879,0.496
1496890,0.495
1497901,0.488
1498912,0.478
1499923,0.492
1500934,0.480
1501945,0.479
1502956,0.486
1503967,0.481
1504978,0.479
1505989,0.493
1507000,0.485
1508011,0.480
1509022,0.485
1510033,0.491
1511044,0.477
1512055,0.482
1513066,0.486
1514077,0.489
1515088,0.481
1516099,0.491
1517110,0.475
1518121,0.489
1519132,0.481
1520143,0.488
1521154,0.488
1522165,0.482
1523176,0.473
1524191,0.477
1525202,0.486
1526213,0.488
1527224,0.481
1528235,0.471
1529246,0.475
1530257,0.477
1531268,0.474
1532279,0.488
1533290,0.475
1534301,0.488
1535312,0.486
1536323,0.482
1537334,0.475
1538345,0.473
1539356,0.477
1540367,0.491
1541378,0.487
1542390,0.480
1543401,0.485
1544412,0.489
1545423,0.492
1546434,0.484
1547445,0.488
1548456,0.488
1549467,0.483
1550478,0.493
1551489,0.481
1552500,0.496
1553511,0.484
1554522,0.492
1555533,0.484
1556544,0.494
1557555,0.479
1558570,0.488
1559581,0.491
1560592,0.483
1561603,0.477
1562614,0.484
1563625,0.478
1564636,0.482
1565647,0.491
1566658,0.485
1567669,0.480
1568680,0.480
1569691,0.474
1570740,0.483
1571751,0.482
1572762,0.477
1573773,0.472
1574784,0.467
1575795,0.469
1576806,0.477
1577817,0.472
1578828,0.457
1579839,0.463
1580850,0.462
1581861,0.470
1582872,0.470
1583883,0.464
1584895,0.470
1585906,0.465
1586917,0.457
1587928,0.468
1588939,0.462
1589950,0.473
1590961,0.464
1591972,0.466
1592987,0.479
1593998,0.465
1595009,0.479
1596020,0.461
1597031,0.469
1598042,0.461
1599053,0.460
1600064,0.471
1601075,0.456
1602086,0.470
1603097,0.469
1604108,0.462
1605119,0.462
1606130,0.464
1607141,0.460
1608152,0.453
1609163,0.456
1610174,0.456
1611185,0.464
1612196,0.455
1613207,0.459
1614218,0.454
1615229,0.451
1616240,0.451
1617251,0.450
1618262,0.449
1619273,0.461
1620284,0.457
1621295,0.460
1622306,0.449
1623317,0.465
1624328,0.461
1625339,0.452
1626350,0.462
1627365,0.452
1628376,0.464
1629387,0.463
1630398,0.465
1631409,0.460
1632420,0.447
1633431,0.459
1634442,0.458
1635453,0.455
1636464,0.452
1637475,0.452
1638486,0.446
1639497,0.455
1640508,0.452
1641519,0.450
1642530,0.443
1643541,0.448
1644552,0.449
1645563,0.441
1646574,0.449
1647585,0.455
1648596,0.450
1649607,0.457
1650618,0.464
1651629,0.451
1652640,0.461
1653651,0.464
1654662,0.462
1655673,0.470
1656684,0.466
1657695,0.466
1658706,0.473
1659717,0.472
1660728,0.472
1661743,0.473
1662754,0.467
1663765,0.472
1664777,0.472
1665788,0.465
1666799,0.478
1667810,0.473
1668821,0.478
1669832,0.469
1670853,0.464
1671864,0.465
1672875,0.465
1673886,0.465
1674897,0.476
1675908,0.471
1676919,0.468
1677930,0.460
1678941,0.457
1679952,0.463
1680963,0.469
1681974,0.473
1682985,0.457
1683996,0.461
1685007,0.474
1686018,0.462
1687029,0.464
1688040,0.467
1689051,0.477
1690062,0.476
1691073,0.471
1692085,0.482
1693096,0.465
1694107,0.472
1695126,0.465
1696141,0.473
1697152,0.470
1698163,0.458
1699174,0.465
1700185,0.462
1701196,0.472
1702207,0.477
1703218,0.464
1704229,0.466
1705240,0.462
1706251,0.464
1707262,0.471
1708282,0.461
1709293,0.465
1710304,0.464
1711315,0.473
1712326,0.459
1713337,0.457
1714348,0.465
1715359,0.463
1716370,0.460
1717381,0.452
1718392,0.450
1719403,0.455
1720414,0.465
1721425,0.453
1722436,0.453
1723447,0.450
1724458,0.461
1725469,0.465
1726480,0.465
1727491,0.463
1728502,0.480
1729513,0.477
1730528,0.484
1731539,0.481
1732550,0.473
1733561,0.479
1734572,0.467
1735583,0.471
1736594,0.470
1737605,0.481
1738616,0.477
1739627,0.465
1740638,0.466
1741649,0.478
1742660,0.477
1743671,0.484
1744682,0.492
1745693,0.482
1746704,0.490
1747715,0.489
1748726,0.497
1749737,0.486
1750748,0.484
1751759,0.496
1752770,0.491
1753781,0.497
1754792,0.489
1755803,0.502
1756814,0.482
1757825,0.488
1758836,0.499
1759847,0.495
1760858,0.493
1761869,0.493
1762880,0.492
1763891,0.510
1764900,0.500
1765911,0.490
1766922,0.485
1767933,0.484
1768982,0.483
1769993,0.484
1771004,0.494
1772015,0.494
1773026,0.493
1774037,0.489
1775048,0.482
1776059,0.489
1777070,0.491
1778081,0.493
1779092,0.484
1780103,0.484
1781114,0.488
1782125,0.484
1783136,0.481
1784147,0.477
1785158,0.474
1786169,0.483
1787180,0.487
1788191,0.474
1789202,0.481
1790213,0.481
1791224,0.470
1792235,0.479
1793246,0.470
1794257,0.473
1795268,0.477
1796279,0.481
1797290,0.473
1798301,0.484
1799312,0.470
1800327,0.479
1801338,0.474
1802349,0.474
1803360,0.465
1804371,0.472
1805382,0.475
1806393,0.463
1807404,0.477
1808415,0.473
1809426,0.470
1810437,0.475
1811448,0.468
1812459,0.472
1813470,0.473
1814481,0.474
1815492,0.462
1816503,0.470
1817514,0.472
1818525,0.462
1819536,0.464
1820547,0.465
1821558,0.468
1822569,0.469
1823580,0.472
